DRS Nome;Municipio;Nome Fantasia;Leitos Ocupados / Enfermaria;Leitos Ocupados / UTI
Grande São Paulo;SANTO ANDRÉ;HOSPITAL DE CAMPANHA COVID 19 BRUNO DANIEL;2;2
Grande São Paulo;SANTO ANDRÉ;HOSPITAL ESTADUAL MÁRIO COVAS DE SANTO ANDRE;1;1
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL ANCHIETA;24;12
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL DE CLINICAS MUNICIPAL;0;2
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL MUNICIPAL UNIVERSITÁRIO;7;1
Grande São Paulo;SÃO CAETANO DO SUL;COMPLEXO HOSPITALAR MUNICIPAL;17;6
Grande São Paulo;SÃO PAULO;CENTRO MEDICO PMESP;3;0
Grande São Paulo;SÃO PAULO;CONJUNTO HOSPITALAR DO MANDAQUI;11;0
Grande São Paulo;SÃO PAULO;HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;34;26
Grande São Paulo;SÃO PAULO;HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;15;23
Grande São Paulo;SÃO PAULO;HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35;6;0
Grande São Paulo;SÃO PAULO;HOSPITAL DO SERVIDOR PÚBLICO EST. FRANCISCO MORATO;51;18
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL COVID 19 METROPOLITANO SANTA CECÍLIA;21;25
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;0;2
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL VILA ALPINA;10;0
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE PEDREIRA;1;0
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE TAIPAS;4;0
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE VILA PENTEADO;13;15
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;46;28
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL SANTA MARCELINA DO ITAIM PAULISTA;0;1
Grande São Paulo;SÃO PAULO;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL 1;4;0
Grande São Paulo;SÃO PAULO;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;16;14
Grande São Paulo;SÃO PAULO;HOSPITAL INFANTIL DARCY VARGAS;6;1
Grande São Paulo;SÃO PAULO;HOSPITAL IPIRANGA;1;0
Grande São Paulo;SÃO PAULO;HOSPITAL MATERNID INTERLAGOS WALDEMAR SEYSSEL - ARRELIA;1;0
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL BELA VISTA;45;27
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL BRASILANDIA;58;104
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL BRIGADEIRO;16;6
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL DO CAMPO LIMPO;8;4
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL DOUTOR ARTHUR RIBEIRO SABOYA;1;0
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL GUARAPIRANGA;18;75
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL TIDE SETUBAL;31;55
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL VILA SANTA CATARINA;0;2
Grande São Paulo;SÃO PAULO;HOSPITAL REGIONAL SUL;7;1
Grande São Paulo;SÃO PAULO;HOSPITAL UNIVERSITÁRIO DA USP;1;0
Grande São Paulo;SÃO PAULO;HOSPITAL VILA NHOCUNÉ;1;0
Grande São Paulo;SÃO PAULO;HSPM - HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;9;1
Grande São Paulo;SÃO PAULO;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;10;13
Grande São Paulo;SÃO PAULO;INSTITUTO DE REABILITAÇÃO LUCY MONTORO;1;0
Grande São Paulo;SÃO PAULO;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;11;8
Grande São Paulo;SÃO PAULO;MATERNIDADE VILA NOVA CACHOEIRINHA;1;0
Grande São Paulo;SÃO PAULO;O.S. I.R.S. SIRIO LIBANES UNIDADE HOSPITAL GERAL GRAJAU;7;2
Grande São Paulo;SÃO PAULO;OSS SANTA MARCELINA HOSPITAL CIDADE TIRADENTES;14;0
Grande São Paulo;SÃO PAULO;PS MUN DR ALVARO DINO DE ALMEIDA;2;0
Grande São Paulo;SÃO PAULO;PS MUN SANTANA LAURO RIBAS BRAGA;4;0
Grande São Paulo;SÃO PAULO;SHS MED DEPARTAMENTO HOSP. MUNIC. INÁCIO PROENÇA DE GOUVEA;16;15
Grande São Paulo;SÃO PAULO;UNIDADE DE INTERNACAO DE COVID HOSPITAL DIA CIDADE ADEMAR;5;0
Grande São Paulo;SUZANO;HOSPITAL DE CAMPANHA COVID 19 SUZANO;1;0
Grande São Paulo;SUZANO;HOSPITAL GERAL AUX DE SUZANO CONDEMAT COVID 19;0;2
Grande São Paulo;SUZANO;PRONTO SOCORRO MUNICIPAL DE SUZANO;10;0
Grande São Paulo;TABOAO DA SERRA;HOSPITAL DE CAMPANHA COVID 19 UPA AKIRA;2;0
Grande São Paulo;TABOAO DA SERRA;HOSPITAL GERAL DE PIRAJUSSARA;2;1
Marília;ASSIS;HOSPITAL REGIONAL DE ASSIS;3;4
Marília;MARILIA;HOSPITAL DAS CLÍNICAS - UNIDADE CLÍNICO CIRÚRGICO;3;0
Piracicaba;PIRACICABA;HOSPITAL REGIONAL DE PIRACICABA;3;2
Piracicaba;PIRACICABA;UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA;8;0
Piracicaba;RIO CLARO;HOSPITAL DE CAMPANHA - COVID 19 - RIO CLARO;1;0
Presidente Prudente;DRACENA;PREFEITURA MUNICIPAL DE DRACENA;1;0
Presidente Prudente;IEPÉ;HOSPITAL MUNICIPAL DE IEPÊ;2;0
Presidente Prudente;PRESIDENTE PRUDENTE;HOSPITAL REGIONAL DR. DOMINGOS LEONARDO CERAVOLO;29;17
Presidente Prudente;ROSANA;HOSPITAL ESTADUAL PORTO PRIMAVERA;1;0
Registro;PARIQUERA-AÇU;HOSPITAL DR LEOPOLDO BEVILACQUA;0;5
Registro;REGISTRO;HOSPITAL REGIONAL DE REGISTRO;3;5
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO;9;9
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL ESTADUAL DE RIBEIRÃO PRETO PROF DR CARLOS MARTINELLI;4;0
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL SANTA TEREZA DE RIBEIRÃO PRETO;1;0
Ribeirão Preto;SANTO ANTÔNIO DA ALEGRIA;UNIDADE MISTA DE SANTO ANTONIO DA ALEGRIA;1;0
Ribeirão Preto;SERRANA;HOSPITAL ESTADUAL SERRANA;3;1
São João da Boa Vista;CASA BRANCA;CENTRO DE REABILITACAO DE CASA BRANCA;9;11
São João da Boa Vista;ITAPIRA;HOSPITAL MUNICIPAL DE ITAPIRA;3;3
São João da Boa Vista;MOGÍ GUAÇU;HOSPITAL MUNICIPAL DR. TABAJARA RAMOS;17;12
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;UPA JAQUARÉ;3;0
Sorocaba;GUAPIARA;HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES;1;0
Sorocaba;ITAPETININGA;HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA;10;10
Sorocaba;ITÚ;HOSPITAL DE CAMPANHA;3;0
Sorocaba;SALTO;HOSPITAL E MATERNIDADE NOSSA SENHORA DO MONTE SERRAT;5;0
Sorocaba;SOROCABA;CONJUNTO HOSPITALAR DE SOROCABA;1;10
Sorocaba;SOROCABA;HOSPITAL DE CAMPANHA CENTRO DE TRANSICAO E ESTABILIZACAO COV;1;0
Sorocaba;SOROCABA;HOSPITAL REGIONAL DE SOROCABA;0;1
Sorocaba;VOTORANTIM;HOSPITAL MUNICIPAL DR. LAURO ROBERTO FOGAÇA;2;0
Taubaté;CAMPOS DO JORDÃO;COMPLEXO MUNICIPAL DE SAUDE;3;2
Taubaté;CARAGUATATUBA;HOSPITAL DE CAMPANHA DE CARAGUATATUBA;6;0
Taubaté;CARAGUATATUBA;HOSPITAL REGIONAL DO LITORAL NORTE;12;4
Taubaté;ILHABELA;HOSPITAL MUNICIPAL GOVERNADOR MARIO COVAS JUNIOR;2;0
Taubaté;JACAREÍ;HOSPITAL DE CAMPANHA COVID 19 JACAREI;4;0
Taubaté;JACAREÍ;UPA III DR THELMO DE ALMEIDA CRUZ;1;0
Taubaté;SÃO JOSÉ DOS CAMPOS;HOSPITAL MUNICIPAL DR. JOSÉ CARVALHO FLORENCE;23;14
Taubaté;TAUBATÉ;HOSPITAL DE CAMPANHA COVID 19 MUNICIPIO DE TAUBATE;3;0
Taubaté;TAUBATÉ;HOSPITAL MUNICIPAL UNIVERSITÁRIO DE TAUBATÉ;6;9
