Departamento Regional de Saúde,Município,Unidade Hospitalar,Leitos de Enfermaria Ocupados,Leitos de UTI Ocupados
Campinas,Santa Barbara D´Oeste,Hospital De Campanha Covid 19,3,0
Campinas,Sumaré,Hospital De Campanha Covid 19,4,0
Campinas,Sumaré,Hospital Estadual Sumare,2,2
Campinas,Sumaré,Unidade De Pronto Atendimento Macarenko Upa 24H,3,0
Campinas,Várzea Paulista,Hospital Municipal Dr Alcipio Da Silva Oliveira Junior,1,0
Grande São Paulo,Arujá,Pam Posto De Atendimento Medico Barreto Covid 19,0,3
Grande São Paulo,Baruerí,Hospital De Campanha Covid 19 Jardim Paulista,4,0
Grande São Paulo,Baruerí,Hospital Municipal De Barueri - Dr.Francisco Moran,9,3
Grande São Paulo,Caieiras,Hospital De Campanha Covid 19 Caieiras,1,0
Grande São Paulo,Cajamar,Hospital Enf.Antonio Policarpo De Oliveira,1,0
Grande São Paulo,Carapicuiba,Centro De Combate Covid 19 Policlinica,2,0
Grande São Paulo,Carapicuiba,Hospital Geral De Carapicuiba,1,0
Grande São Paulo,Cotia,Hospital Regional De Cotia,19,14
Grande São Paulo,Diadema,Hospital Estadual De Diadema,3,4
Grande São Paulo,Diadema,Hospital Municipal De Diadema,11,6
Grande São Paulo,Diadema,Pronto Socorro Central De Diadema,5,0
Grande São Paulo,Embu Das Artes,Hospital De Campanha Covid 19 Embu Das Artes,10,0
Grande São Paulo,Embu Das Artes,Hospital De Campanha Covid Embu Das Artes,1,0
Grande São Paulo,Embu Das Artes,Hospital Leito Irma Anette Marlene Fernandes Mello,7,1
Grande São Paulo,Embu-Guaçu,Unidade Mista De Saúde De Embu Guaçu,4,0
Grande São Paulo,Ferraz De Vasconcelos,Hospital Regional De Ferraz De Vasconcelos Osiris Florindo,3,0
Grande São Paulo,Francisco Morato,Hospital Estadual Prof Carlos Da Silva Lacaz Fco Morato,0,19
Grande São Paulo,Franco Da Rocha,Hctp Ii,1,0
Grande São Paulo,Franco Da Rocha,Hospital Estadual Dr Albano Da Franca Rocha Sobrinho,0,3
Grande São Paulo,Guarulhos,Hosp Municipal De Urgencias Hmu,19,8
Grande São Paulo,Guarulhos,Hospit Geral Prof Dr Waldemar De Carvalho Pinto Filho,13,16
Grande São Paulo,Guarulhos,Hospital Municipal Da Crianca E Do Adolescente Hmca,12,0
Grande São Paulo,Guarulhos,Hospital Municipal Pimentas Bonsucesso Manuel De Paiva,3,0
Grande São Paulo,Itapecerica Da Serra,Hospital Geral De Itapecerica Da Serra,1,2
Grande São Paulo,Itapeví,Hospital Geral De Itapevi,4,4
Grande São Paulo,Itaquaquecetuba,Hospital Geral De Itaquáquecetuba,3,0
Grande São Paulo,Itaquaquecetuba,Upa Sadako Sedoguti,4,0
Grande São Paulo,Juquitiba,Ums De Juquitiba,1,0
Grande São Paulo,Mairipora,Hospital De Campanha Covid 19 De Mairipora,3,4
Grande São Paulo,Mauá,Hospital De Clínicas Dr. Radamés Nardini,5,2
Grande São Paulo,Mogí Das Cruzes,Centro Esp Em Reabilitacao Dr Arnaldo Pezzuti Cavalcanti,19,9
Grande São Paulo,Mogí Das Cruzes,Hospital Das Clinicas Luzia De Pinho Mello,6,0
Grande São Paulo,Mogí Das Cruzes,Hospital Municipal De Mogi Das Cruzes,21,28
Grande São Paulo,Osasco,Hospital Municipal Antonio Giglio,10,4
Grande São Paulo,Osasco,Hospital Regional Dr Vivaldo Martins Simoes Osasco,17,14
Grande São Paulo,Santa Isabel,Unidade De Pronto Atendimento Upa I Santa Isabel,3,0
Grande São Paulo,Santo André,Centro Hospitalar De Santo Andre Dr Newton Da Costa Brandao,15,17
Grande São Paulo,Santo André,Hospital De Campanha Covid 19 Bruno Daniel,2,2
Grande São Paulo,Santo André,Hospital Estadual Mário Covas De Santo Andre,3,4
Grande São Paulo,São Bernardo Do Campo,Hospital De Campanha Covid 19 Hospital Anchieta,25,9
Grande São Paulo,São Bernardo Do Campo,Hospital De Clinicas Municipal,1,1
Grande São Paulo,São Bernardo Do Campo,Hospital Municipal Universitário,1,0
Grande São Paulo,São Caetano Do Sul,Complexo Hospitalar Municipal,36,16
Grande São Paulo,São Paulo,Caism Da Água Funda,1,0
Grande São Paulo,São Paulo,Centro De Referencia Da Saude Da Mulher Sao Paulo,2,0
Grande São Paulo,São Paulo,Centro De Referencia E Treinamento Dstaids Sao Paulo,4,0
Grande São Paulo,São Paulo,Centro Medico Pmesp,1,0
Grande São Paulo,São Paulo,Conjunto Hospitalar Do Mandaqui,5,0
Grande São Paulo,São Paulo,Hc Da Fmusp Hospital Das Clinicas Sao Paulo,27,20
Grande São Paulo,São Paulo,Hc Da Fmusp Instituto Do Coracao Incor Sao Paulo,11,17
Grande São Paulo,São Paulo,Hospital De Campanha Covid 19 Sms Sp Anhembi P 35,6,0
Grande São Paulo,São Paulo,Hospital Do Servidor Público Est. Francisco Morato,50,15
Grande São Paulo,São Paulo,Hospital Estadual Covid 19 Metropolitano Santa Cecília,20,23
Grande São Paulo,São Paulo,Hospital Estadual De Sapopemba Sao Paulo,0,5
Grande São Paulo,São Paulo,Hospital Estadual Vila Alpina,16,4
Grande São Paulo,São Paulo,Hospital Geral De Pedreira,0,1
Grande São Paulo,São Paulo,Hospital Geral De Taipas,4,0
Grande São Paulo,São Paulo,Hospital Geral De Vila Penteado,13,11
Grande São Paulo,São Paulo,Hospital Geral Jesus Teixeira Da Costa Guaianases Sao Paulo,49,20
Grande São Paulo,São Paulo,Hospital Geral Santa Marcelina Do Itaim Paulista,3,1
Grande São Paulo,São Paulo,Hospital Heliopolis Unidade De Gestao Assistencial 1,4,0
Grande São Paulo,São Paulo,Hospital Infantil Candido Fontoura Sao Paulo,16,15
Grande São Paulo,São Paulo,Hospital Infantil Darcy Vargas,2,0
Grande São Paulo,São Paulo,Hospital Maternidade Leonor Mendes De Barros,0,1
Grande São Paulo,São Paulo,Hospital Municipal Bela Vista,31,17
Grande São Paulo,São Paulo,Hospital Municipal Brasilandia,60,102
Grande São Paulo,São Paulo,Hospital Municipal Do Campo Limpo,8,4
Grande São Paulo,São Paulo,Hospital Municipal Doutor Arthur Ribeiro Saboya,1,1
Grande São Paulo,São Paulo,Hospital Municipal Guarapiranga,54,56
Grande São Paulo,São Paulo,Hospital Municipal Jardim Sarah,2,0
Grande São Paulo,São Paulo,Hospital Municipal Tide Setubal,29,62
Grande São Paulo,São Paulo,Hospital Municipal Vila Santa Catarina,1,2
Grande São Paulo,São Paulo,Hospital Regional Sul,9,1
Grande São Paulo,São Paulo,Hospital Universitário Da Usp,1,0
Grande São Paulo,São Paulo,Hospital Vila Nhocuné,2,0
Grande São Paulo,São Paulo,Hspm - Hospital Do Servidor Público Municipal,3,0
Grande São Paulo,São Paulo,Instituto De Infectologia Emilio Ribas Sao Paulo,9,13
Grande São Paulo,São Paulo,Instituto Do Cancer Do Estado De Sao Paulo,5,8
Grande São Paulo,São Paulo,Maternidade Vila Nova Cachoeirinha,2,0
Grande São Paulo,São Paulo,O.S. I.R.S. Sirio Libanes Unidade Hospital Geral Grajau,4,1
Grande São Paulo,São Paulo,Oss Santa Marcelina Hospital Cidade Tiradentes,12,0
Grande São Paulo,São Paulo,Ps Mun Dr Alvaro Dino De Almeida,2,0
Grande São Paulo,São Paulo,Ps Mun Santana Lauro Ribas Braga,4,0
Grande São Paulo,São Paulo,Shs Med Departamento Hosp. Munic. Inácio Proença De Gouvea,15,14
Grande São Paulo,São Paulo,Unidade De Internacao De Covid Hospital Dia Cidade Ademar,5,0
Grande São Paulo,Suzano,Hospital De Campanha Covid 19 Suzano,1,0
Grande São Paulo,Suzano,Hospital Geral Aux De Suzano Condemat Covid 19,0,2
Grande São Paulo,Suzano,Pronto Socorro Municipal De Suzano,10,0
Grande São Paulo,Taboao Da Serra,Hospital Geral De Pirajussara,2,2
Marília,Assis,Hospital Regional De Assis,4,6
Marília,Marilia,Hospital Das Clínicas - Unidade Clínico Cirúrgico,5,2
Piracicaba,Piracicaba,Hospital Regional De Piracicaba,1,1
Piracicaba,Piracicaba,Upa Piracicamirim Dr Fortunato Losso Neto Piracicaba,5,0
Piracicaba,Rio Claro,Hospital De Campanha - Covid 19 - Rio Claro,1,0
Presidente Prudente,Iepé,Hospital Municipal De Iepê,2,0
Presidente Prudente,Mirante Do Paranapanema,Pronto Atendimento Municipal,1,0
Presidente Prudente,Presidente Prudente,Hospital Regional Dr. Domingos Leonardo Ceravolo,21,18
Presidente Prudente,Rosana,Hospital Estadual Porto Primavera,1,0
Registro,Pariquera-Açu,Hospital Dr Leopoldo Bevilacqua,0,7
Registro,Registro,Hospital Regional De Registro,0,5
Ribeirão Preto,Ribeirão Preto,Centro De Ref Da Saude Da Mulher De R Preto Mater,1,0
Ribeirão Preto,Ribeirão Preto,Hospital Das Clinicas Faepa Ribeirao Preto,10,2
Ribeirão Preto,Ribeirão Preto,Hospital Estadual De Ribeirão Preto Prof Dr Carlos Martinelli,4,0
Ribeirão Preto,Serrana,Hospital Estadual Serrana,3,1
São João da Boa Vista,Casa Branca,Centro De Reabilitacao De Casa Branca,3,10
São João da Boa Vista,Itapira,Hospital Municipal De Itapira,3,2
São José do Rio Preto,São José Do Rio Preto,Upa Jaquaré,3,0
Sorocaba,Ibiuna,Hospital De Campanha Covid-19,1,0
Sorocaba,Itapetininga,Hospital Dr Leo Orsi Bernardes Itapetininga,10,10
Sorocaba,Itú,Hospital De Campanha,3,0
Sorocaba,Salto,Hospital E Maternidade Nossa Senhora Do Monte Serrat,4,0
Sorocaba,Sorocaba,Conjunto Hospitalar De Sorocaba,2,6
Sorocaba,Sorocaba,Hospital De Campanha Centro De Transicao E Estabilizacao Cov,1,0
Sorocaba,Sorocaba,Hospital Regional De Sorocaba,0,2
Sorocaba,Votorantim,Hospital Municipal Dr. Lauro Roberto Fogaça,1,0
Taubaté,Campos Do Jordão,Complexo Municipal De Saude,11,3
Taubaté,Caraguatatuba,Hospital De Campanha De Caraguatatuba,12,0
Taubaté,Caraguatatuba,Hospital Regional Do Litoral Norte,11,4
Taubaté,Jacareí,Hospital De Campanha Covid 19 Jacarei,14,0
Taubaté,Jacareí,Upa Iii Dr Thelmo De Almeida Cruz,1,0
Taubaté,São José Dos Campos,Hospital Municipal Dr. José Carvalho Florence,21,13
Taubaté,São José Dos Campos,Hospital Regional De São José Dos Campos,0,2
Taubaté,Taubaté,Hospital De Campanha Covid 19 Municipio De Taubate,3,0
Taubaté,Taubaté,Hospital Municipal Universitário De Taubaté,9,6
