Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3553500;Interior;Tapiraí;860;10;;;
3553609;Interior;Tapiratiba;1703;32;;;
3553658;Interior;Taquaral;367;10;;;
3553708;Interior;Taquaritinga;6682;208;;;
3553807;Interior;Taquarituba;3825;107;;;
3553856;Interior;Taquarivaí;532;19;;;
3553906;Interior;Tarabai;872;30;;;
3553955;Interior;Tarumã;1781;52;;;
3554003;Interior;Tatuí;9961;457;;;
3554102;Interior;Taubaté;28861;888;;;
3554201;Interior;Tejupá;142;9;;;
3554300;Interior;Teodoro Sampaio;2970;51;;;
3554409;Interior;Terra Roxa;1178;33;;;
3554508;Interior;Tietê;4356;118;;;
3554607;Interior;Timburi;167;9;;;
3554656;Interior;Torre de Pedra;182;11;;;
3554706;Interior;Torrinha;1559;22;;;
3554755;Interior;Trabiju;221;2;;;
3554805;Interior;Tremembé;2727;53;;;
3554904;Interior;Três Fronteiras;878;32;;;
3554953;Interior;Tuiuti;289;3;;;
3555000;Interior;Tupã;7196;272;;;
3555109;Interior;Tupi Paulista;1658;48;;;
3555208;Interior;Turiúba;185;4;;;
3555307;Interior;Turmalina;207;5;;;
3555356;Interior;Ubarana;1060;18;;;
3555406;Interior;Ubatuba;7737;132;;;
3555505;Interior;Ubirajara;566;10;;;
3555604;Interior;Uchoa;1470;30;;;
3555703;Interior;União Paulista;230;6;;;
3555802;Interior;Urânia;1410;38;;;
3555901;Interior;Uru;172;5;;;
3556008;Interior;Urupês;876;44;;;
3556107;Interior;Valentim Gentil;2447;69;;;
3556206;Interior;Valinhos;14833;399;;;
3556305;Interior;Valparaíso;3111;80;;;
3556354;Interior;Vargem;386;9;;;
3556404;Interior;Vargem Grande do Sul;3206;96;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;2730;110;;;
3556503;Interior;Várzea Paulista;8974;255;;;
3556602;Interior;Vera Cruz;662;37;;;
3556701;Interior;Vinhedo;10562;206;;;
3556800;Interior;Viradouro;2032;89;;;
3556909;Interior;Vista Alegre do Alto;1152;16;;;
3556958;Interior;Vitória Brasil;250;9;;;
3557006;Interior;Votorantim;11652;514;;;
3557105;Interior;Votuporanga;16094;452;;;
3557154;Interior;Zacarias;268;10;;;
3557204;Interior;Chavantes;1387;48;;;
3557303;Interior;Estiva Gerbi;811;33;;;
;;Ignorado;128;0;;;
;;;;;;;
;;;;;;;
;;;;;;;
