Municipio;Nomes de medida;Ranking;Valores de medida
ITAPETININGA;Total de Doses Aplicadas;72º;227961,5
ITAPETININGA;Qtd-Doses-Distribuidas;72º;223407
CERQUEIRA CÉSAR;% em relação as doses enviadas;73º;1,020147560
CERQUEIRA CÉSAR;Total de Doses Aplicadas;73º;32355
CERQUEIRA CÉSAR;Qtd-Doses-Distribuidas;73º;31716
PEREIRA BARRETO;% em relação as doses enviadas;74º;1,019954788
PEREIRA BARRETO;Total de Doses Aplicadas;74º;36546
PEREIRA BARRETO;Qtd-Doses-Distribuidas;74º;35831
SÃO JOÃO DAS DUAS PONTES;% em relação as doses enviadas;75º;1,019923372
SÃO JOÃO DAS DUAS PONTES;Total de Doses Aplicadas;75º;3993
SÃO JOÃO DAS DUAS PONTES;Qtd-Doses-Distribuidas;75º;3915
FERNANDÓPOLIS;% em relação as doses enviadas;76º;1,019313166
FERNANDÓPOLIS;Total de Doses Aplicadas;76º;110148
FERNANDÓPOLIS;Qtd-Doses-Distribuidas;76º;108061
BURITAMA;% em relação as doses enviadas;77º;1,019030250
BURITAMA;Total de Doses Aplicadas;77º;25703
BURITAMA;Qtd-Doses-Distribuidas;77º;25223
MARACAÍ;% em relação as doses enviadas;78º;1,018970190
MARACAÍ;Total de Doses Aplicadas;78º;19552
MARACAÍ;Qtd-Doses-Distribuidas;78º;19188
MACEDÔNIA;% em relação as doses enviadas;79º;1,018936821
MACEDÔNIA;Total de Doses Aplicadas;79º;5999,5
MACEDÔNIA;Qtd-Doses-Distribuidas;79º;5888
JAGUARIÚNA;% em relação as doses enviadas;80º;1,018751943
JAGUARIÚNA;Total de Doses Aplicadas;80º;85186
JAGUARIÚNA;Qtd-Doses-Distribuidas;80º;83618
JUMIRIM;% em relação as doses enviadas;81º;1,018246687
JUMIRIM;Total de Doses Aplicadas;81º;4994,5
JUMIRIM;Qtd-Doses-Distribuidas;81º;4905
GÁLIA;% em relação as doses enviadas;82º;1,018203641
GÁLIA;Total de Doses Aplicadas;82º;10180
GÁLIA;Qtd-Doses-Distribuidas;82º;9998
SÃO JOSÉ DO RIO PRETO;% em relação as doses enviadas;83º;1,018035551
SÃO JOSÉ DO RIO PRETO;Total de Doses Aplicadas;83º;702273,5
SÃO JOSÉ DO RIO PRETO;Qtd-Doses-Distribuidas;83º;689832
ESPÍRITO SANTO DO TURVO;% em relação as doses enviadas;84º;1,015807110
ESPÍRITO SANTO DO TURVO;Total de Doses Aplicadas;84º;6972,5
ESPÍRITO SANTO DO TURVO;Qtd-Doses-Distribuidas;84º;6864
GAVIÃO PEIXOTO;% em relação as doses enviadas;85º;1,015775133
GAVIÃO PEIXOTO;Total de Doses Aplicadas;85º;7083
GAVIÃO PEIXOTO;Qtd-Doses-Distribuidas;85º;6973
SANTA CRUZ DO RIO PARDO;% em relação as doses enviadas;86º;1,015688032
SANTA CRUZ DO RIO PARDO;Total de Doses Aplicadas;86º;70246
SANTA CRUZ DO RIO PARDO;Qtd-Doses-Distribuidas;86º;69161
PARAPUÃ;% em relação as doses enviadas;87º;1,015394049
PARAPUÃ;Total de Doses Aplicadas;87º;15731,5
PARAPUÃ;Qtd-Doses-Distribuidas;87º;15493
ITAJOBI;% em relação as doses enviadas;88º;1,014947498
ITAJOBI;Total de Doses Aplicadas;88º;24648
ITAJOBI;Qtd-Doses-Distribuidas;88º;24285
BERTIOGA;% em relação as doses enviadas;89º;1,014865913
BERTIOGA;Total de Doses Aplicadas;89º;91581,5
BERTIOGA;Qtd-Doses-Distribuidas;89º;90240
LUTÉCIA;% em relação as doses enviadas;90º;1,014655594
LUTÉCIA;Total de Doses Aplicadas;90º;4154
LUTÉCIA;Qtd-Doses-Distribuidas;90º;4094
GUARAREMA;% em relação as doses enviadas;91º;1,014213588
GUARAREMA;Total de Doses Aplicadas;91º;46202,5
GUARAREMA;Qtd-Doses-Distribuidas;91º;45555
SARAPUÍ;% em relação as doses enviadas;92º;1,013988780
SARAPUÍ;Total de Doses Aplicadas;92º;14098,5
SARAPUÍ;Qtd-Doses-Distribuidas;92º;13904
TUPI PAULISTA;% em relação as doses enviadas;93º;1,013865713
TUPI PAULISTA;Total de Doses Aplicadas;93º;25519
TUPI PAULISTA;Qtd-Doses-Distribuidas;93º;25170
ANGATUBA;% em relação as doses enviadas;94º;1,013699040
ANGATUBA;Total de Doses Aplicadas;94º;33891
ANGATUBA;Qtd-Doses-Distribuidas;94º;33433
ITAÍ;% em relação as doses enviadas;95º;1,013690600
ITAÍ;Total de Doses Aplicadas;95º;38909,5
ITAÍ;Qtd-Doses-Distribuidas;95º;38384
SANTA CRUZ DA CONCEIÇÃO;% em relação as doses enviadas;96º;1,013663167
SANTA CRUZ DA CONCEIÇÃO;Total de Doses Aplicadas;96º;7048
SANTA CRUZ DA CONCEIÇÃO;Qtd-Doses-Distribuidas;96º;6953
ARCO-ÍRIS;% em relação as doses enviadas;97º;1,013539652
ARCO-ÍRIS;Total de Doses Aplicadas;97º;3144
ARCO-ÍRIS;Qtd-Doses-Distribuidas;97º;3102
MIRASSOLÂNDIA;% em relação as doses enviadas;98º;1,013175406
MIRASSOLÂNDIA;Total de Doses Aplicadas;98º;7613
MIRASSOLÂNDIA;Qtd-Doses-Distribuidas;98º;7514
SÃO JOSÉ DO BARREIRO;% em relação as doses enviadas;99º;1,012590799
SÃO JOSÉ DO BARREIRO;Total de Doses Aplicadas;99º;6273
SÃO JOSÉ DO BARREIRO;Qtd-Doses-Distribuidas;99º;6195
BARÃO DE ANTONINA;% em relação as doses enviadas;100º;1,012181195
BARÃO DE ANTONINA;Total de Doses Aplicadas;100º;5318
BARÃO DE ANTONINA;Qtd-Doses-Distribuidas;100º;5254
PONGAÍ;% em relação as doses enviadas;101º;1,012101313
PONGAÍ;Total de Doses Aplicadas;101º;5394,5
PONGAÍ;Qtd-Doses-Distribuidas;101º;5330
TARUMÃ;% em relação as doses enviadas;102º;1,012066686
TARUMÃ;Total de Doses Aplicadas;102º;21429,5
TARUMÃ;Qtd-Doses-Distribuidas;102º;21174
NOVA CANAÃ PAULISTA;% em relação as doses enviadas;103º;1,011984223
NOVA CANAÃ PAULISTA;Total de Doses Aplicadas;103º;3335,5
NOVA CANAÃ PAULISTA;Qtd-Doses-Distribuidas;103º;3296
CLEMENTINA;% em relação as doses enviadas;104º;1,011836508
CLEMENTINA;Total de Doses Aplicadas;104º;10942
CLEMENTINA;Qtd-Doses-Distribuidas;104º;10814
ITANHAÉM;% em relação as doses enviadas;105º;1,011796954
ITANHAÉM;Total de Doses Aplicadas;105º;157984
ITANHAÉM;Qtd-Doses-Distribuidas;105º;156142
MURUTINGA DO SUL;% em relação as doses enviadas;106º;1,011051081
MURUTINGA DO SUL;Total de Doses Aplicadas;106º;6175,5
MURUTINGA DO SUL;Qtd-Doses-Distribuidas;106º;6108
NANTES;% em relação as doses enviadas;107º;1,010872251
NANTES;Total de Doses Aplicadas;107º;4091
NANTES;Qtd-Doses-Distribuidas;107º;4047
RESTINGA;% em relação as doses enviadas;108º;1,010843494
RESTINGA;Total de Doses Aplicadas;108º;10114,5
RESTINGA;Qtd-Doses-Distribuidas;108º;10006
CAJAMAR;% em relação as doses enviadas;109º;1,009656459
CAJAMAR;Total de Doses Aplicadas;109º;117941
CAJAMAR;Qtd-Doses-Distribuidas;109º;116813
ÁGUAS DE SANTA BÁRBARA;% em relação as doses enviadas;110º;1,009624850
ÁGUAS DE SANTA BÁRBARA;Total de Doses Aplicadas;110º;9231
ÁGUAS DE SANTA BÁRBARA;Qtd-Doses-Distribuidas;110º;9143
RIO CLARO;% em relação as doses enviadas;111º;1,008886079
RIO CLARO;Total de Doses Aplicadas;111º;291275,5
RIO CLARO;Qtd-Doses-Distribuidas;111º;288710
SALMOURÃO;% em relação as doses enviadas;112º;1,008851379
SALMOURÃO;Total de Doses Aplicadas;112º;7351,5
SALMOURÃO;Qtd-Doses-Distribuidas;112º;7287
CAPELA DO ALTO;% em relação as doses enviadas;113º;1,008636349
CAPELA DO ALTO;Total de Doses Aplicadas;113º;31650
CAPELA DO ALTO;Qtd-Doses-Distribuidas;113º;31379
REGINÓPOLIS;% em relação as doses enviadas;114º;1,008328276
REGINÓPOLIS;Total de Doses Aplicadas;114º;14952,5
REGINÓPOLIS;Qtd-Doses-Distribuidas;114º;14829
MONTE MOR;% em relação as doses enviadas;115º;1,007170637
MONTE MOR;Total de Doses Aplicadas;115º;87013,5
MONTE MOR;Qtd-Doses-Distribuidas;115º;86394
BÁLSAMO;% em relação as doses enviadas;116º;1,007102993
BÁLSAMO;Total de Doses Aplicadas;116º;13895
BÁLSAMO;Qtd-Doses-Distribuidas;116º;13797
GABRIEL MONTEIRO;% em relação as doses enviadas;117º;1,006484484
GABRIEL MONTEIRO;Total de Doses Aplicadas;117º;4346
GABRIEL MONTEIRO;Qtd-Doses-Distribuidas;117º;4318
RIVERSUL;% em relação as doses enviadas;118º;1,006109510
RIVERSUL;Total de Doses Aplicadas;118º;8728
RIVERSUL;Qtd-Doses-Distribuidas;118º;8675
NEVES PAULISTA;% em relação as doses enviadas;119º;1,005652552
NEVES PAULISTA;Total de Doses Aplicadas;119º;15033,5
NEVES PAULISTA;Qtd-Doses-Distribuidas;119º;14949
RIBEIRÃO CORRENTE;% em relação as doses enviadas;120º;1,005513390
RIBEIRÃO CORRENTE;Total de Doses Aplicadas;120º;7021,5
RIBEIRÃO CORRENTE;Qtd-Doses-Distribuidas;120º;6983
SANTA RITA DO PASSA QUATRO;% em relação as doses enviadas;121º;1,004958291
SANTA RITA DO PASSA QUATRO;Total de Doses Aplicadas;121º;40840,5
SANTA RITA DO PASSA QUATRO;Qtd-Doses-Distribuidas;121º;40639
SANTA FÉ DO SUL;% em relação as doses enviadas;122º;1,004911404
SANTA FÉ DO SUL;Total de Doses Aplicadas;122º;52686,5
SANTA FÉ DO SUL;Qtd-Doses-Distribuidas;122º;52429
COLÔMBIA;% em relação as doses enviadas;123º;1,004872602
COLÔMBIA;Total de Doses Aplicadas;123º;9899
COLÔMBIA;Qtd-Doses-Distribuidas;123º;9851
CERQUILHO;% em relação as doses enviadas;124º;1,004253015
CERQUILHO;Total de Doses Aplicadas;124º;69539,5
CERQUILHO;Qtd-Doses-Distribuidas;124º;69245
FLOREAL;% em relação as doses enviadas;125º;1,004145078
FLOREAL;Total de Doses Aplicadas;125º;4845
FLOREAL;Qtd-Doses-Distribuidas;125º;4825
MATÃO;% em relação as doses enviadas;126º;1,003816391
MATÃO;Total de Doses Aplicadas;126º;123754,5
MATÃO;Qtd-Doses-Distribuidas;126º;123284
COSMORAMA;% em relação as doses enviadas;127º;1,003730133
COSMORAMA;Total de Doses Aplicadas;127º;12378
COSMORAMA;Qtd-Doses-Distribuidas;127º;12332
POTIRENDABA;% em relação as doses enviadas;128º;1,003574586
POTIRENDABA;Total de Doses Aplicadas;128º;26110
POTIRENDABA;Qtd-Doses-Distribuidas;128º;26017
OURINHOS;% em relação as doses enviadas;129º;1,002608225
OURINHOS;Total de Doses Aplicadas;129º;149917
OURINHOS;Qtd-Doses-Distribuidas;129º;149527
PARANAPUÃ;% em relação as doses enviadas;130º;1,002587424
PARANAPUÃ;Total de Doses Aplicadas;130º;6393,5
PARANAPUÃ;Qtd-Doses-Distribuidas;130º;6377
BOCAINA;% em relação as doses enviadas;131º;1,002065635
BOCAINA;Total de Doses Aplicadas;131º;17221,5
BOCAINA;Qtd-Doses-Distribuidas;131º;17186
TUPÃ;% em relação as doses enviadas;132º;1,001112415
TUPÃ;Total de Doses Aplicadas;132º;98994
TUPÃ;Qtd-Doses-Distribuidas;132º;98884
OLÍMPIA;% em relação as doses enviadas;133º;1,000847346
OLÍMPIA;Total de Doses Aplicadas;133º;83271,5
OLÍMPIA;Qtd-Doses-Distribuidas;133º;83201
CHAVANTES;% em relação as doses enviadas;134º;1,000313658
CHAVANTES;Total de Doses Aplicadas;134º;17540,5
CHAVANTES;Qtd-Doses-Distribuidas;134º;17535
MARÍLIA;% em relação as doses enviadas;135º;1,000128492
MARÍLIA;Total de Doses Aplicadas;135º;330801,5
MARÍLIA;Qtd-Doses-Distribuidas;135º;330759
CANITAR;% em relação as doses enviadas;136º;0,999018783
CANITAR;Total de Doses Aplicadas;136º;7127
CANITAR;Qtd-Doses-Distribuidas;136º;7134
MOCOCA;% em relação as doses enviadas;137º;0,998997310
MOCOCA;Total de Doses Aplicadas;137º;103617
MOCOCA;Qtd-Doses-Distribuidas;137º;103721
BARRA BONITA;% em relação as doses enviadas;138º;0,998860736
BARRA BONITA;Total de Doses Aplicadas;138º;54797,5
BARRA BONITA;Qtd-Doses-Distribuidas;138º;54860
GUZOLÂNDIA;% em relação as doses enviadas;139º;0,998852882
GUZOLÂNDIA;Total de Doses Aplicadas;139º;6966
GUZOLÂNDIA;Qtd-Doses-Distribuidas;139º;6974
MACATUBA;% em relação as doses enviadas;140º;0,998747930
MACATUBA;Total de Doses Aplicadas;140º;24728
MACATUBA;Qtd-Doses-Distribuidas;140º;24759
INDAIATUBA;% em relação as doses enviadas;141º;0,998578188
INDAIATUBA;Total de Doses Aplicadas;141º;375043
INDAIATUBA;Qtd-Doses-Distribuidas;141º;375577
MINEIROS DO TIETÊ;% em relação as doses enviadas;142º;0,998349070
MINEIROS DO TIETÊ;Total de Doses Aplicadas;142º;17234,5
MINEIROS DO TIETÊ;Qtd-Doses-Distribuidas;142º;17263
MONTE APRAZÍVEL;% em relação as doses enviadas;143º;0,998228074
MONTE APRAZÍVEL;Total de Doses Aplicadas;143º;34646,5
MONTE APRAZÍVEL;Qtd-Doses-Distribuidas;143º;34708
TAQUARITINGA;% em relação as doses enviadas;144º;0,998156221
TAQUARITINGA;Total de Doses Aplicadas;144º;81746
TAQUARITINGA;Qtd-Doses-Distribuidas;144º;81897
SÃO SEBASTIÃO;% em relação as doses enviadas;145º;0,998025312
SÃO SEBASTIÃO;Total de Doses Aplicadas;145º;122309
SÃO SEBASTIÃO;Qtd-Doses-Distribuidas;145º;122551
SANTO ANASTÁCIO;% em relação as doses enviadas;146º;0,997561665
SANTO ANASTÁCIO;Total de Doses Aplicadas;146º;28229
SANTO ANASTÁCIO;Qtd-Doses-Distribuidas;146º;28298
INDIAPORÃ;% em relação as doses enviadas;147º;0,997532387
INDIAPORÃ;Total de Doses Aplicadas;147º;6468
